Name,Description,Section,Project,Assignee,Due Date,Tags
"Convert Zinger CLI to Slash Command","Wrap existing zinger_cli.py functionality as Claude Code slash command /zinger","Phase 1: Quick Wins","EWC - Professional System","","","P1,Easy,Professional"
"Compile OpEd Voice Examples Document","Select 5-10 published Ed OpEds and annotate them for AI training: tone, structure, certainty levels, counterargument handling","Phase 1: Quick Wins","EWC - Professional System","","","P1,Easy,Professional"
"Compile Content Source Expansion List","Research 20+ think tanks and publications for Macro Roundup content expansion","Phase 1: Quick Wins","EWC - Professional System","","","P2,Easy,Professional"
"Export Zingers to Reference Spreadsheet","Create easily browsable spreadsheet of all 2,434 zingers by argument category","Phase 1: Quick Wins","EWC - Professional System","","","P2,Easy,Professional"
"Create Special Edition Candidate List","Manual analysis of database to identify 10-15 potential special edition themes","Phase 1: Quick Wins","EWC - Professional System","","","P2,Easy,Professional"
"Build OpEd Drafter Skill v1","Create first version of OpEd generation skill using voice guidelines. Dependencies: Voice examples document complete","Phase 2: Foundation","EWC - Professional System","","","P0,Medium,Professional"
"Build Counterargument Mapper Skill","Skill that maps common objections to Ed's 10 arguments with suggested rebuttals","Phase 2: Foundation","EWC - Professional System","","","P1,Medium,Professional"
"Build Special Edition Scout Skill","Analyzes Neo4j database to identify emerging themes worthy of special edition treatment","Phase 2: Foundation","EWC - Professional System","","","P1,Medium,Professional"
"Build Content Expansion Scout Skill","Identifies new contributors and think tank sources for Macro Roundup diversification. Dependencies: Content source list complete","Phase 2: Foundation","EWC - Professional System","","","P2,Medium,Professional"
"Initiate Tag Refinement Project","Work with Steve to improve broad tags like Growth with meaningful subtags","Phase 2: Foundation","EWC - Professional System","","","P2,Medium,Professional"
"Surface Human-AI Overlap Analysis to Ed","Create presentation of existing overlap analysis for Ed's review. Requires Anthony.","Phase 2: Foundation","EWC - Professional System","","","P2,Medium,Professional"
"Implement Tag-Level AI View (Centroid Embeddings)","Compute and expose tag-level semantic views using embedding centroids. Requires Anthony.","Phase 3: Automation","EWC - Professional System","","","P1,Difficult,Professional"
"Build Special Edition Auto-Identification","System that proactively identifies special edition candidates without human prompting","Phase 3: Automation","EWC - Professional System","","","P2,Difficult,Professional"
"Build Market Demand Monitoring Agent","Agent that scans publications for topics where Ed's perspective would be timely","Phase 3: Automation","EWC - Professional System","","","P2,Difficult,Professional"
"Build OpEd Drafter Skill v2 (Calibrated)","Refined version that produces drafts requiring minimal Ed editing. Dependencies: v1 + Ed feedback cycles","Phase 4: Intelligence","EWC - Professional System","","","P0,Difficult,Professional"
"Develop Voice Model Refinement Process","Systematic approach to improving AI match to Ed's rhetorical style","Phase 4: Intelligence","EWC - Professional System","","","P1,Difficult,Professional"
"Address AI Article Selection Challenge","Explore whether AI can articulate principles and exceptions for article curation","Phase 4: Intelligence","EWC - Professional System","","","P2,Difficult,Professional"
"Create HubSpot Engagement Segments","Set up engagement-based segments in HubSpot for differentiated treatment","Phase 1: Quick Wins","EWC - Content Marketing","","","P1,Easy,Content"
"Research Newsletter Advertising Rates","Get pricing and audience info from relevant newsletters (TLDR, Morning Brew, 1440)","Phase 1: Quick Wins","EWC - Content Marketing","","","P1,Easy,Content"
"Research Email List Purchase Options","Identify vendors selling economics/policy interested email lists","Phase 1: Quick Wins","EWC - Content Marketing","","","P1,Easy,Content"
"Audit @EdwardConard Twitter Presence","Document current state and identify opportunities for Twitter growth","Phase 1: Quick Wins","EWC - Content Marketing","","","P2,Easy,Content"
"Document Growth Ideas with Cost Estimates","Detailed write-up of all growth strategies with expected costs and returns","Phase 1: Quick Wins","EWC - Content Marketing","","","P1,Easy,Content"
"Get Ed's Relationship Tier Classification","Work with Ed to classify key contacts as Friends/Aware/Unknown","Phase 2: Foundation","EWC - Content Marketing","","","P0,Medium,Content"
"Set Up Twitter Scheduling System","Select and configure tool for scheduled Twitter posting (Buffer/Hootsuite)","Phase 2: Foundation","EWC - Content Marketing","","","P1,Medium,Content"
"Build Twitter Thread Generator Skill","Skill that converts Macro Roundup content or OpEds into Twitter thread format","Phase 2: Foundation","EWC - Content Marketing","","","P1,Medium,Content"
"Build Analytics Insight Generator Skill","Skill that extracts learnable insights from HubSpot/website performance data","Phase 2: Foundation","EWC - Content Marketing","","","P2,Medium,Content"
"Build Segmentation Analyzer Skill","Skill that analyzes subscriber engagement patterns and suggests strategies","Phase 2: Foundation","EWC - Content Marketing","","","P2,Medium,Content"
"Create Growth Strategy Proposal","Formal proposal for subscriber growth initiatives with budget request","Phase 2: Foundation","EWC - Content Marketing","","","P1,Easy,Content"
"Launch Subscriber Growth Initiatives","Execute approved growth strategies: newsletter ads, email lists, Twitter engagement","Phase 3: Automation","EWC - Content Marketing","","","P1,Difficult,Content"
"Integrate Publication Analytics","Connect email, website, and engagement data for full-funnel view","Phase 3: Automation","EWC - Content Marketing","","","P2,Difficult,Content"
"Build Influencer Outreach System","Systematic approach to engaging high-value contacts","Phase 3: Automation","EWC - Content Marketing","","","P2,Difficult,Content"
"Implement Content Performance Learning","System that learns which content types/topics drive engagement","Phase 4: Intelligence","EWC - Content Marketing","","","P2,Difficult,Content"
"Build Predictive Engagement Model","Predict which subscribers are at risk of churning and design re-engagement","Phase 4: Intelligence","EWC - Content Marketing","","","P2,Difficult,Content"
"Deliver January Restaurant Recommendations","Compile and deliver January restaurant and experience recommendations to Ed","Phase 1: Quick Wins","EWC - Personal System","","","P0,Easy,Personal"
"Deliver 2AM Principal NYC Experience Ideas","Research and compile 15-20 NYC experience ideas meeting surprising/exhilarating/satisfying criteria","Phase 1: Quick Wins","EWC - Personal System","","","P0,Easy,Personal"
"Identify Book Summary Sources","Research 10+ sources for discovering esoteric nonfiction books worth summarizing","Phase 1: Quick Wins","EWC - Personal System","","","P2,Easy,Personal"
"Identify Rules for Living Sources","Research sources for business/life wisdom content (Farnam Street, Brain Pickings)","Phase 1: Quick Wins","EWC - Personal System","","","P2,Easy,Personal"
"Create Restaurant Visited/Unvisited Tracker","Simple spreadsheet to track Ed's restaurant history and want-to-visit list","Phase 1: Quick Wins","EWC - Personal System","","","P2,Easy,Personal"
"Design Restaurant Database Schema","Create data structure for tracking restaurants by category, source, status using Airtable","Phase 2: Foundation","EWC - Personal System","","","P1,Medium,Personal"
"Build Restaurant Recommender Skill","Category-aware recommendation skill respecting non-substitution principle","Phase 2: Foundation","EWC - Personal System","","","P1,Medium,Personal"
"Build Book Summary Generator Skill","Skill that produces 800-1000 word summaries of esoteric nonfiction","Phase 2: Foundation","EWC - Personal System","","","P2,Medium,Personal"
"Build Rules for Living Curator Skill","Skill that surfaces business/life wisdom from quality sources","Phase 2: Foundation","EWC - Personal System","","","P2,Medium,Personal"
"Build Event Horizon Scanner Skill","Monitors upcoming conferences, shows, events worth planning for","Phase 2: Foundation","EWC - Personal System","","","P2,Medium,Personal"
"Build 2AM Principal Curator Skill","Ongoing curation of surprising NYC experiences using John Levy criteria","Phase 2: Foundation","EWC - Personal System","","","P2,Medium,Personal"
"Set Up Lifestyle Source Monitoring","Configure monitoring for key lifestyle sources via RSS/email aggregation","Phase 2: Foundation","EWC - Personal System","","","P2,Medium,Personal"
"Build Availability Checking Automation","Real-time availability checking from Resy/OpenTable","Phase 3: Automation","EWC - Personal System","","","P1,Difficult,Personal"
"Build Last-Minute Alert System","Monitors for cancellations at hard-to-book restaurants","Phase 3: Automation","EWC - Personal System","","","P2,Difficult,Personal"
"Build Upgrade Hunting Automation","Continuously seeks better options for already-booked dates","Phase 3: Automation","EWC - Personal System","","","P2,Difficult,Personal"
"Implement Preference Learning","System learns from Ed's feedback over time to improve recommendations","Phase 4: Intelligence","EWC - Personal System","","","P2,Difficult,Personal"
"Build Predictive Suggestion Engine","Anticipates what Ed wants before he asks based on patterns","Phase 4: Intelligence","EWC - Personal System","","","P2,Difficult,Personal"
"Build Article Summarizer Skill","Summarizes articles to ~750 characters with key insight, following Shannon principle","Phase 1: Simple Skills","EWC - Skills Development","","","P1,Easy,Skills"
"Build Weekly Status Compiler Skill","Compiles progress across all three engines for status updates","Phase 1: Simple Skills","EWC - Skills Development","","","P2,Easy,Skills"
"Build Decision Queue Manager Skill","Formats and prioritizes items from all engines for Ed's attention","Phase 2: Core Skills","EWC - Skills Development","","","P2,Medium,Skills"
"Build Predictive Suggestion Engine Skill","Anticipates needs before Ed asks, analyzing historical patterns","Phase 4: Advanced Skills","EWC - Skills Development","","","P2,Difficult,Skills"
"Define Decision Queue Format","Standardize how items from all engines are presented for Ed's decision","Phase 1: Design","EWC - Integration","","","P2,Easy,Integration"
"Define Time Block Categories","Document and standardize time protection categories (Writing, Review, Open, Personal)","Phase 1: Design","EWC - Integration","","","P2,Easy,Integration"
"Design Calendar Integration Approach","Plan how professional + personal systems feed into Ed's calendar","Phase 2: Planning","EWC - Integration","","","P2,Medium,Integration"
"Design Exception Alert System","Plan when and how to surface exception items to Ed (channels, urgency levels)","Phase 2: Planning","EWC - Integration","","","P2,Medium,Integration"
"Build Feedback Loop Infrastructure","Systematic capture of Ed's feedback to improve all systems","Phase 3: Build","EWC - Integration","","","P1,Difficult,Integration"
"Implement Full Calendar Integration","Live sync between all systems and Ed's calendar","Phase 4: Full Integration","EWC - Integration","","","P1,Difficult,Integration"
"Complete Full System Integration","All three engines + calendar + alerts working together seamlessly","Phase 4: Full Integration","EWC - Integration","","","P1,Difficult,Integration"
